Country,ISO Code,ID 2021,Latitude,Longitude,BCM 2021,Type
United States,USA,2414,32.209071,-101.967339,0.000505773,upstream oil
Pakistan,PAK,9950,24.845063,67.124381,0.000505415,refinery
United States,USA,4012,32.125094,-89.617904,0.000505406,upstream oil
Russian Federation,RUS,10498,59.668389,110.636364,0.000505059,upstream oil
Russian Federation,RUS,9305,66.27532,78.688092,0.000505001,upstream oil
United States,USA,2949,28.516913,-99.16761,0.000504654,upstream oil
China,CHN,12126,40.73688,120.80412,0.00050459,refinery
United States,USA,691,48.516332,-103.01756,0.000504232,upstream oil
Russian Federation,RUS,7073,57.279268,56.695216,0.000503656,upstream oil
United States,USA,1157,34.317747,-119.320874,0.000503231,upstream oil
Russian Federation,RUS,10437,57.967069,106.833419,0.000502318,upstream oil
United Arab Emirates,ARE,8350,24.544607,54.01687,0.000501819,upstream oil
United States,USA,1949,31.266251,-103.393008,0.00050174,upstream oil
United States,USA,1277,32.832355,-104.14138,0.000501367,upstream oil
United States,USA,2288,31.040486,-102.221413,0.000500583,upstream oil
United States,USA,2972,28.504933,-99.004845,0.000500363,upstream oil
Russian Federation,RUS,9441,65.845611,80.49659,0.000500345,upstream gas
Russian Federation,RUS,10293,60.453919,96.291547,0.000498446,upstream oil
United States,USA,1327,31.656912,-104.074816,0.000497689,upstream oil
United States,USA,2257,31.929091,-102.324963,0.00049741,upstream oil
United States,USA,870,47.848142,-102.760253,0.00049731,upstream oil
Russian Federation,RUS,7082,57.004424,56.803612,0.000497228,upstream oil
United Arab Emirates,ARE,8307,25.208974,53.167209,0.000497034,upstream oil
United States,USA,889,47.874952,-102.738945,0.000496527,upstream oil
Russian Federation,RUS,6431,67.253241,55.713433,0.00049645,upstream oil
Russian Federation,RUS,9315,60.901859,78.882021,0.000496438,upstream oil
United States,USA,3619,27.883353,-90.901896,0.000496133,upstream oil
Uzbekistan,UZB,7134,44.079226,58.662511,0.000496063,upstream oil
China,CHN,10091,39.257635,83.561353,0.0004953,upstream oil
Russian Federation,RUS,10439,58.02487,106.862498,0.000495226,upstream oil
Russian Federation,RUS,10416,58.083791,106.578886,0.000494243,upstream oil
United States,USA,3537,26.939876,-94.68952,0.000494184,upstream oil
Canada,CAN,44,56.793566,-122.128552,0.000493876,upstream oil
Netherlands,NLD,5224,51.965425,4.035106,0.000493873,Other ex LNG
Russian Federation,RUS,8820,61.799864,72.212919,0.000493327,upstream oil
United States,USA,2495,31.834104,-101.818115,0.000493048,upstream oil
United States,USA,998,47.770903,-102.599804,0.000492755,upstream oil
United Kingdom,GBR,4967,57.959927,-0.918727,0.000491566,upstream oil
China,CHN,11409,33.897022,116.404194,0.000491425,gpp
Thailand,THA,11684,8.859108,101.267102,0.000491363,upstream oil
Canada,CAN,323,53.746464,-113.166377,0.000490979,refinery
Australia,AUS,12106,-20.783289,115.395183,0.000490797,upstream oil
United States,USA,3560,30.5305,-93.906083,0.000490721,upstream oil
United States,USA,903,48.371944,-102.719702,0.000488748,upstream oil
United States,USA,2542,31.854113,-101.740101,0.000488146,upstream oil
Canada,CAN,64,57.133921,-121.725449,0.000488017,upstream oil
United States,USA,1316,32.258929,-104.091615,0.000487897,upstream oil
Kazakhstan,KAZ,6984,44.711042,54.174976,0.000487856,upstream oil
United States,USA,431,43.486984,-105.477922,0.000487809,upstream oil
Uzbekistan,UZB,9941,38.37394,66.349441,0.000486382,upstream oil
United States,USA,2568,30.849303,-101.712687,0.00048625,upstream oil
United States,USA,2384,31.992653,-102.025645,0.000485895,upstream oil
Colombia,COL,4176,7.983049,-73.57389,0.000485833,upstream oil
Pakistan,PAK,9958,24.833932,68.443628,0.000485827,upstream oil
Algeria,DZA,5492,31.688303,5.912665,0.000485578,upstream oil
Saudi Arabia,SAU,7985,28.155994,49.996979,0.000484633,upstream oil
United States,USA,3289,29.210671,-97.617848,0.000484512,upstream oil
Russian Federation,RUS,9349,64.187346,79.541183,0.000484025,upstream oil
China,CHN,11480,37.060981,117.846269,0.000483993,gpp
Kazakhstan,KAZ,6938,46.063155,53.466856,0.000483978,upstream oil
Russian Federation,RUS,9039,69.356943,75.844112,0.000483476,upstream gas
Canada,CAN,40,56.984673,-122.226016,0.000482243,upstream oil
United States,USA,776,47.9611,-102.89562,0.000482214,upstream oil
United States,USA,965,47.413251,-102.649963,0.000481777,upstream oil
Canada,CAN,244,56.276308,-116.679124,0.000481733,upstream oil
United States,USA,512,48.371862,-103.615023,0.000481694,upstream oil
United States,USA,3582,33.24656,-93.14529,0.000481013,upstream oil
Canada,CAN,318,51.675459,-113.408982,0.000480884,upstream oil
Venezuela,VEN,4380,9.592002,-63.516593,0.000480388,upstream oil
United States,USA,2953,28.237452,-99.125031,0.000480015,upstream oil
